stride,padding,in_channels,out_channels,kernel_size,dilation,groups,
backbone.bottom_up.res3.0.conv2_offset,conv,1,1,128,18,(,1,1,
backbone.bottom_up.res3.1.conv2_offset,conv,1,1,128,18,(,1,1,
backbone.bottom_up.res3.2.conv2_offset,conv,1,1,128,18,(,1,1,
backbone.bottom_up.res3.3.conv2_offset,conv,1,1,128,18,(,1,1,
backbone.bottom_up.res4.0.conv2_offset,conv,1,1,256,18,(,1,1,
backbone.bottom_up.res4.1.conv2_offset,conv,1,1,256,18,(,1,1,
backbone.bottom_up.res4.2.conv2_offset,conv,1,1,256,18,(,1,1,
backbone.bottom_up.res4.3.conv2_offset,conv,1,1,256,18,(,1,1,
backbone.bottom_up.res4.4.conv2_offset,conv,1,1,256,18,(,1,1,
backbone.bottom_up.res4.5.conv2_offset,conv,1,1,256,18,(,1,1,
backbone.bottom_up.res5.0.conv2_offset,conv,1,1,512,18,(,1,1,
backbone.bottom_up.res5.1.conv2_offset,conv,1,1,512,18,(,1,1,
backbone.bottom_up.res5.2.conv2_offset,conv,1,1,512,18,(,1,1,
